restaurant;in;address1;address2;address3;neighborhood;phone;type
Novitá;;102 E 22nd St;at Park Ave South;;Gramercy/Flatiron;(212-677-2222);Italian
Nyonya;;194 Grand St;between Mott and Mulberry Sts;;Chinatown/Little Italy;(212-334-3669);Asian: Malaysian
Nëo;;2298 Broadway;at 83rd St;;Upper West Side;(212-769-1003);Japanese
O Mai;;158 Ninth Ave;between 19th and 20th Sts;;Chelsea;(212-633-0550);Vietnamese
ONieals Grand Street;;174 Grand St;between Centre Market Pl and Mulberry St;;Chinatown/Little Italy;(212-941-9119);American
Obikà Mozzarella Bar;;590 Madison Ave;at 56th St;;Midtown East;(212-355-2217);Italian
Ocean Grill;;384 Columbus Ave;between 78th and 79th Sts;;Upper West Side;(212-579-2300);Seafood
Oceana;;55 E 54th St;between Madison and Park Aves;;Midtown East;(212-759-5941);Seafood
Odessa;;119 Ave A;between St. Marks Pl and E 7th St;;East Village;(212-253-1470);Eastern European
Odessa Café;;117 Ave A;between St. Marks Pl and E 7th St;;East Village;(212-253-1470);Eastern European
Oga Japanese Tapas & Maki (CLOSED);;143 E 47th St;between Lexington and Third Aves;;Midtown East;(212-308-5688);Japanese
Oklahoma Smoke;;231 W 145th St;between Frederick Douglass Blvd;;Harlem;(212-862-5335);Barbeque
Olana;;72 Madison Ave;between 27th and 28th Sts;;Gramercy/Flatiron;(212-725-4900);Eclectic
Old Devil Moon (CLOSED);;511 E 12th St;between Aves A and B;;East Village;(212-475-4357);American Regional
Old Homestead Steakhouse;;56 Ninth Ave;between 14th and 15th Sts;;Chelsea;(212-242-9040);Steakhouses
Old San Juan;;765 Ninth Ave;between 51st and 52nd Sts;;Midtown West;(212-262-7013);Caribbean: Puerto Rican
Old Town Bar & Grill;;45 E 18th St;between Broadway and Park Ave South;;Gramercy/Flatiron;(212-529-6732);American
Oliva;;161 E Houston St;at Allen St;;Lower East Side;(212-228-4143);Spanish
Olives New York;W Union Square Hotel;;201 Park Ave South;at 17th St;Gramercy/Flatiron;(212-353-8345);Mediterranean
Ollie’s Noodle Shop & Grille;;2957 Broadway;at 116th St;;Upper West Side;(212-932-3300);Chinese
Ollie’s Noodle Shop & Grille;;200B W 44th St;at Broadway;;Midtown West;(212-921-5988);Chinese
Ollie’s Noodle Shop & Grille;;1991 Broadway;between 67th and 68th Sts;;Upper West Side;(212-595-8181);Chinese
Ollie’s Noodle Shop & Grille;;2315 Broadway;at 84th St;;Upper West Side;(212-362-3111);Chinese
Olympic Pita;;58 W 38th St;between Fifth and Sixth Aves;;Midtown West;(212-869-7482);Kosher
Omen;;113 Thompson St;between Prince and Spring Sts;;Soho;(212-925-8923);Japanese
Omido;;1695 Broadway;at 53rd St;;Midtown West;(212-247-8110);Japanese
Oms/b;;156 E 45th St;between Lexington and Third Aves;;Midtown East;(212-922-9788);Japanese
Onda;;229 Front St;between Beekman St andPeck Slip;;Financial District;(212-513-0770);Latin American
One;;1 Little West 12th St;at Ninth Ave;;Meatpacking District;(212-255-9717);Eclectic
One if by Land;;17 Barrow St;between Seventh Ave South and W 4th St;;West Village;(212-255-8649);Two if by Sea
One if by Land;Two if by Sea;;17 Barrow St;between Seventh Ave South and W 4th St;West Village;(212-255-8649);American
Onera (CLOSED);;222 W 79th St;between Broadway and Amsterdam Ave;;Upper West Side;(212-873-0200);Greek
Onieal’s Grand Street;;174 Grand St;between Centre Market Pl and Mulberry St;;Chinatown/Little Italy;(212-941-9119);American
Ono;Hotel Gansevoort;;18 Ninth Ave;at 13th St;Meatpacking District;(212-660-6766);Japanese
Open the Sesame;;198A Orchard St;at Houston St;;Lower East Side;(212-777-7009);Thai
Opia;Habitat Hotel;;130 E 57th St;between Park and Lexington Aves;second floor;Midtown East;(212-688-3939)
Opus;;1574 Second Ave;at 82nd St;;Upper East Side;(212-772-2220);Italian
Orbit;;2257 First Ave;at 116th St;;Upper East Side;(212-348-7818);Eclectic
Orchid Caribbean/Soul Cuisine;;675 Ninth Ave;between 46th and 47th Sts;;Midtown West;(212-582-9742);Caribbean
Oriental Garden;;14 Elizabeth St;between Bayard and Canal Sts;;Chinatown/Little Italy;(212-619-0085);Chinese
Oriental Spoon;;141 First Ave;between St. Marks Pl and E 9th St;;East Village;(212-529-2746);Asian: Pan-Asian
Oro Bakery and Bar;375 Broome St;;;;;;
Orologio;;162 Ave A;between 10th and 11th Sts;;East Village;(212-228-6900);Italian
Orsay;;1057 Lexington Ave;at 75th St;;Upper East Side;(212-517-6400);French
Orso;;322 W 46th St;between Eighth and Ninth Aves;;Midtown West;(212-489-7212);Italian
Ost Café;;441E 12th St;at Ave A;;East Village;(212-477-5600);Cafés & diners
Osteria Laguna;;209 E 42nd St;between Second and Third Aves;;Midtown East;(212-557-0001);Italian
Osteria al Doge;;142 W 44th St;between Sixth Ave and Broadway;;Midtown West;(212-944-3643);Italian
Osteria del Circo;;120 W 55th St;between Sixth and Seventh Aves;;Midtown West;(212-265-3636);Italian
Osteria del Gallo Nero;;192 Bleecker St;between MacDougal St and Sixth Ave;;Greenwich Village;(212-475-2355);Italian
Osteria del Sole (CLOSED);;267 W 4th St;at Perry St;;West Village;(212-620-6840);Italian
Ostia;;113 Seventh Ave South;between Christopher and W 10th Sts;;West Village;(212-924-2305);Spanish
Otafuku;;236 E 9th St;between Second and Third Aves;;East Village;(212-353-8503);Japanese
Otto Enoteca Pizzeria;;1 Fifth Ave;at 8th St;;Greenwich Village;(212-995-9559);Italian: Pizza
Ouest;;2315 Broadway;between 83rd and 84th Sts;;Upper West Side;(212-580-8700);American Creative
Ozu;;566 Amsterdam Ave;between 87th and 88th Sts;;Upper West Side;(212-787-8316);Asian: Pan-Asian
P*ong;;150 W 10th St;at Waverly Pl;;West Village;(212-929-0898);Cafés & diners
P.J. Clarke’s;;4 World Financial Center;at Vesey St;;Financial District;(212-285-1500);American
P.J. Clarke’s;;915 Third Ave;at 55th St;;Midtown East;(212-317-1616);American
P.J. Clarke’s at Lincoln Center;;44 W 63rd St;at Broadway;;Upper West Side;(212-957-9700);American
P.J. Clarke’s on the Hudson;;4 World Financial Center;at Vesey St;;Financial District;(212-285-1500);American
PJ Wine;;4898 Broadway;between 204th and 207th Sts;;Inwood;(212-567-5500);Food or Beverage Shop
POP Burger;;58–60 Ninth Ave;between 14th and 15th Sts;;Chelsea;(212-414-8686);American
POP Burger;;14 E 58th St;between Fifth and Madison Aves;;Midtown West;(212-991-6644);American
PS 450;;450 Park Ave South;between 30th and 31st Sts;;Midtown East;(212-532-7474);Eclectic
Pacific Grill;;89 South Street Seaport;at Pier 17;;Financial District;(212-964-0707);Seafood
Padre Figlio;;310 E 44th St;between First and Second Aves;;Midtown East;(212-286-4310);Italian
Pair of 8’s (CLOSED);;568 Amsterdam Ave;between 87th and 88th Sts;;Upper West Side;(212-874-2742);American
Pakistani Tea House;;176 Church St;between Duane and Reade Sts;;Tribeca;(212-240-9800);Indian
Palacinka (CLOSED);;28 Grand St;between Sixth Ave and Thompson St;;Soho;(212-625-0362);Cafés & diners
Paladar;;161 Ludlow St;between Houston and Stanton Sts;;Lower East Side;(212-473-3535);Latin American
Palma;;28 Cornelia St;between Bleecker and W 4th Sts;;West Village;(212-691-2223);Italian
Palà;;198 Allen St;between Houston and Stanton Sts;;Lower East Side;(212-614-7252);Italian: Pizza
Pam Real Thai Encore;;402 W 47th St;between Ninth and Tenth Aves;;Midtown West;(212-315-4441);Thai
Pam Real Thai Food;;404 W 49th St;between Ninth and Tenth Aves;;Midtown West;(212-333-7500);Thai
Pampano;;209 E 49th St;between Second and Third Aves;;Midtown East;(212-751-4545);Mexican
Pampano;;209 East 49th St;at 3rd Ave;;Midtown East;(212-751-4545);Mexican
Pampano Taqueria;;805 Third Ave;between 49th and 50th Sts;;Midtown East;(212-751-5257);Mexican
Pamplona;;37 E 28th;between Madison and Park Aves;;Gramercy/Flatiron;(212-213-2328);Spanish
Pan Latin Café;;400 Chambers St;at River Terr;;Tribeca;(212-571-3860);Latin American
Panade;;129 Eldridge St;between Broome and Delancey Sts;;Lower East Side;(212-219-9923);Cafés
Pangea;;178 Second Ave;between 11th and 12th Sts;;East Village;(212-995-0900);Mediterranean
Panya (CLOSED);;10 Stuyvesant St;at Third Ave;;East Village;(212-777-1930);Japanese
Paola’s;1295 Madison Ave;;;;;;
Paola’s;;245 E 84th St;between Second and Third Aves;;Upper East Side;(212-794-1890);Italian
Papabubble;;380 Broome St;between Mulberry and Mott Sts;;Chinatown/Little Italy;(212-966-2599);Food or Beverage Shop
Papatzul;;55 Grand St;between W Broadway and Wooster Sts;;Soho;(212-274-8225);Mexican
Papaya King;;179 E 86th St;at Third Ave;;Upper East Side;(212-369-0648);American
Papaya King;;200 14th St;at Seventh Ave;;West Village;(212-367-8090);American
Papaya King;;121 W 125th St;between Adam Clayton Powell Jr. Blvd and Lenox Ave;;Harlem;(212-665-5732);American
Papaya King (CLOSED);;121 W 125th St;between Adam Clayton Powell Jr. Blvd and Lenox Ave;;Harlem;(212-665-5732);American
Papillon;;22 E 54th St;between Fifth and Madison Aves;;Midtown East;(212-754-9006);French
Paradiso;105 Ave B;;;;;;
Paradou;;8 Little West 12th St;between Greenwich and Washington Sts;;West Village;(212-463-8345);French
Paradou Marché (CLOSED);;120 Essex St;at Delancey St;;Lower East Side;;Eclectic
Paris Commune;;99 Bank St;at Greenwich St;;West Village;(212-929-0509);French
Paris Match;;29 W 65th St;between Madison and Park Aves;;Upper East Side;(212-737-4400);French
Paris Sandwich;;113 Mott St;between Canal and Hester Sts;;Chinatown/Little Italy;(212-226-7221);French
Park Avenue Liquor;;292 Madison Ave;between 40th and 41st Sts;;Midtown East;(212-685-2442);Food or Beverage Shop
Park Avenue Winter;;100 E 63rd St;between Park and Lexington Aves;;Upper East Side;(212-644-1900);American Creative
Park Bistro;;377 Park Ave South;between 26th and 27th Sts;;Gramercy/Flatiron;(212-689-1360);French
Park Blue;;158 West 58th St;between Sixth and Seventh Aves;;Midtown West;(212-247-2727);Eclectic
Park Terrace Bistro;;4959 Broadway;at 207th St;;Inwood;(212-567-2828);Moroccan
Parlor Steakhouse;;1600 Third Ave;at 90th St;;Upper East Side;(212-423-5888);Steakhouses
Parma;;1404 Third Ave;between 79th and 80th Sts;;Upper East Side;(212-535-3520);Italian
Pasha;;70 W 71st St;between Central Park West and Columbus Ave;;Upper West Side;(212-579-8751);Turkish
Pasita;;47 Eighth Ave;between Horatio and Jane Sts;;West Village;(212-255-3900);Latin American: Venezuelan
Pastis;;9 Ninth Ave;at Little W 12th St;;Meatpacking District;(212-929-4844);French
Pata Negra;;345 E 12th St;between First and Second Aves;;East Village;(212-228-1696);Spanish
Patisserie des Ambassades;;161 W 22nd St;between Sixth and Seventh Aves;;Chelsea;(212-255-5101);African: Senegalese
Patroon;;160 E 46th St;between Lexington and Third Aves;;Midtown East;(212-883-7373);American
Patsy’s Italian Restaurant;;236 W 56th St;between Broadway and Eighth Ave;;Midtown West;(212-247-3491);Italian
Patsy’s Pizzeria;;67 University Pl;between 10th and 11th Sts;;West Village;(212-533-3500);Italian: Pizza
Patsy’s Pizzeria;;2287 First Ave;between 117th and 118th Sts;;East Harlem;(212-534-9783);Italian: Pizza
Patsy’s Pizzeria;;61 W 74th St;between Central Park West and Columbus Ave;;Upper West Side;(212-579-3000);Italian: Pizza
Patsy’s Pizzeria;;509 Third Ave;between 34th and 35th Sts;;Midtown East;(212-689-7500);Italian: Pizza
Patsy’s Pizzeria;;1312 Second Ave;at 69th St;;Upper East Side;(212-639-1000);Italian: Pizza
Paul’s;;131 Second Ave;between St. Marks Pl and E 7th St;;East Village;(212-529-3097);Cafés & diners
Paul’s Boutique (CLOSED);;99 Rivington St;at Ludlow St;;Lower East Side;(646-805-0384);Cafés & diners
Payard Pâtisserie & Bistro;;1032 Lexington Ave;between 73rd and 74th Sts;;Upper East Side;(212-717-5252);French
Peacock Alley;;301 Park Ave;between 49th and 50th Sts;;Midtown East;(212-872-7335);French
Peanut Butter & Co.;;240 Sullivan St;between Bleecker and W 3rd Sts;;Greenwich Village;(212-677-3995);American
Pearl Oyster Bar;;18 Cornelia St;between Bleecker and W 4th Sts;;West Village;(212-691-8211);Seafood
Pearl on the Sushi;;695 Ninth Ave;at 48th St;;Midtown West;(212-977-8809);Japanese
Peasant;;194 Elizabeth St;between Prince and Spring Sts;;Chinatown/Little Italy;(212-965-9511);Italian
Peep;;177 Prince St;between Sullivan and Thompson Sts;;Soho;(212-254-7337);Thai
Peking Duck House;;28 Mott St;between Mosco and Pell Sts;;Chinatown/Little Italy;(212-227-1810);Chinese
Pellegrino’s;;138 Mulberry St;between Grand and Hester Sts;;Chinatown/Little Italy;(212-226-3177);Italian
Penang;;1596 Second Ave;at 83rd St;;Upper East Side;(212-585-3838);Asian: Malaysian
Penang;;127 W 72nd St;between Columbus and Amsterdam Aves;;Upper West Side;(212-769-3988);Asian: Malaysian
Penang (CLOSED);;109 Spring St;between Greene and Mercer Sts;;Soho;(212-274-8883);Asian: Malaysian
Penelope;;159 Lexington Ave;at 30th St;;Midtown East;(212-481-3800);Cafés
Pepe Giallo to Go;;253 Tenth Ave;between 24th and 25th Sts;;Chelsea;(212-242-6055);Italian
Pepe Rosso to Go;;149 Sullivan St;between Houston and Prince Sts;;Soho;(212-677-4555);Italian
Pepe Verde;;559 Hudson St;between Perry and W 11th Sts;;West Village;(212-255-2221);Italian
Pepolino;;281 West Broadway;between Canal and Lispenard Sts;;Tribeca;(212-966-9983);Italian
Per Lei;;1347 Second Ave;between 70th and 71st Sts;;Upper East Side;(212-439-9200);Italian
Per Se;Time Warner Center;;10 Columbus Circle;at Broadway;fourth floor;Upper West Side;(212-823-9335)
Pera Mediterranean Brasserie;;303 Madison Ave;between 41st and 42nd Sts;;Midtown East;(212-878-6301);Mediterranean
Perbacco;;234 E 4th St;between Aves A and B;;East Village;(212-253-2038);Italian
Pergola des Artistes;;252 W 46th St;between Broadway and Eighth Ave;;Midtown West;(212-302-7500);French
Peri Ela;;1361 Lexington Ave;between 90th and 91st Sts;;Upper East Side;(212-410-4300);Turkish
Perilla;;9 Jones St;between Bleecker and W 4th Sts;;West Village;(212-929-6868);American
Periyali;;35 W 20th St;between Fifth and Sixth Aves;;Chelsea;(212-463-7890);Greek
Perle;;62 Pearl St;between Broad St and Coenties Slip;;Financial District;(212-248-4848);French
Perry St.;;176 Perry St;at West St;;West Village;(212-352-1900);American
Persephone;;115 E 60th St;between Park and Lexington Aves;;Upper East Side;(212-339-8363);Greek
Persepolis;;1407 Second Ave;between 73rd and 74th Sts;;Upper East Side;(212-535-1100);Middle Eastern
Pershing Square;;90 E 42nd St;at Park Ave;;Midtown East;(212-286-9600);American
Persimmon;;277 E 10th St;between First Ave and Ave A;;East Village;(212-260-9080);Korean
Pescatore;;955–957 Second Ave;between 50th and 51st Sts;;Midtown East;(212-752-7151);Italian
Pete’s Tavern;;129 E 18th St;at Irving Pl;;Gramercy/Flatiron;(212-473-7676);American
Petite Abeille;;466 Hudson St;between Barrow and Grove Sts;;West Village;(212-741-6479);Belgian
Petite Abeille;;107 W 18th St;between Sixth and Seventh Aves;;Chelsea;(212-604-9350);Belgian
Petite Abeille;;401 E 20th St;at First Ave;;Gramercy/Flatiron;(212-727-1505);Belgian
Petite Abeille;;134 West Broadway;between Duane and Thomas Sts;;Tribeca;(212-791-1360);Belgian
Petrarca;;34 White St;at Church St;;Tribeca;(212-625-2800);Italian
Petrossian;;182 W 58th St;at Seventh Ave;;Midtown West;(212-245-2214);Russian
Petrossian Boutique & Café;;911 Seventh Ave;between 57th and 58th Sts;;Midtown West;(212-245-2217);Russian
Phebe’s Tavern & Grill;;359 Bowery;at 4th St;;East Village;(212-358-1902);American
Philip Marie;;569 Hudson St;at 11th St;;West Village;(212-242-6200);American
Philippe;;33 E 60th St;between Madison and Park Aves;;Upper East Side;(212-644-8885);Chinese
Philippe Express;;469 Sixth Ave;between 11th and 12th Sts;;Greenwich Village;(212-929-8949);Eclectic
Philly Slim’s Cheesesteaks;;789 Ninth Ave;between 52nd and 53rd Sts;;Midtown West;(212-333-3042);American
Pho Bang;;6 Chatham Sq;at Mott St;;Chinatown/Little Italy;(212-587-0870);Vietnamese
Pho Bang;;3 Pike St;between Canal and Division Sts;;Chinatown/Little Italy;(212-233-3947);Vietnamese
Pho Bang;;157 Mott St;between Broome and Grand Sts;;Chinatown/Little Italy;(212-966-3797);Vietnamese
Pho Viet Huong;;73 Mulberry St;between Bayard and Canal Sts;;Chinatown/Little Italy;(212-233-8988);Vietnamese
Phoenix Garden;;242 E 40th St;between Second and Third Aves;;Midtown East;(212-983-6666);Chinese
Piadina;;57 W 10th St;between Fifth and Sixth Aves;;Greenwich Village;(212-460-8017);Italian
Piano Due;;151 W 51st St;between Sixth and Seventh Aves;;Midtown West;(212-399-9400);Italian
Piccolo Angolo;;621 Hudson St;at Jane St;;West Village;(212-229-9177);Italian
Picholine;;35 W 64th St;between Central Park West and Broadway;;Upper West Side;(212-724-8585);French
Pick a Pita;;247 W 38th St;between Seventh and Eighth Aves;;Midtown West;(212-730-7482);Middle Eastern
Pickles;Olives;;Etc.;1647 First Ave;between 85th and 86th Sts;Upper East Side;(212-717-8966)
Pickles;;1647 First Ave;between 85th and 86th Sts;;Upper East Side;(212-717-8966);Olives
Picnic Market and Cafe;;2665 Broadway;between 101st and 102nd Sts;;Upper West Side;(212-222-8222);Cafés & diners
Picnick;;Battery Park near the Staten Island Ferry Terminal;;;Financial District;((no phone));Cafés & diners
Piece of Chicken;;630 Ninth Ave;at 45th St;;Midtown West;(212-582-5973);American Regional
Pier 2110 (CLOSED);;2110 Adam Clayton Powell Jr. Blvd (Seventh Ave);between 125th and 126th Sts;;Harlem;(212-280-7437);Seafood
Pietrasanta;;683 Ninth Ave;at 47th St;;Midtown West;(212-265-9471);Italian
Pig Heaven;;1540 Second Ave;at 80th St;;Upper East Side;(212-744-4333);Chinese
Pigalle;;790 Eighth Ave;at 48th St;;Midtown West;(212-489-2233);French
Pinch & S’MAC;;474 Columbus Ave;between 82nd and 83rd Sts;;Upper West Side;(212-686-5222);American
Pinch-Pizza by the Inch;;416 Park Ave South;between 28th and 29th St;;Gramercy/Flatiron;(212-686-5222);Italian: Pizza
Pinche Taqueria;;227 Mott St Between Prince and Spring Sts;;;Soho;(212-625-0090);Mexican
Pinche Taqueria;;333 Lafayette St;between Bleecker and E Houston Sts;;Greenwich Village;(212-343-9977);Mexican
Ping’s;;22 Mott St;between Mosco and Pell Sts;;Chinatown/Little Italy;(212-602-9988);Chinese
Pink Pony;;176 Ludlow St;between Houston and Stanton Sts;;Lower East Side;(212-253-1922);French
Pinkberry;;350 Third Ave;between 25th and 26th Sts;;Gramercy/Flatiron;(212-685-4301);American
Pinkberry;;170 Eighth Ave;between 18th and 19th Sts;;Chelsea;(212-206-0352);American
Pinkberry;;177 Bleecker St;between MacDougal and Sullivan Sts;;Greenwich Village;(212-477-1810);American
Pinkberry;;2041 Broadway;at 70th St;;Upper West Side;(212-580-3410);American
Pinkberry;;1577 Second Ave;between 81st and 82nd Sts;;Upper East Side;(212-861-0574);American
Pinkberry;;7 W 32nd St;between Fifth and Sixth Aves;;Midtown West;(212-695-9631);American
Pinkberry;;2873 Broadway;between 111th and 112th Sts;;Columbia University–City College;(212-222-0191);American
