restaurant;address;addressGoogle;country;neighborhood;type;phone;type_r
Hurricane Bobs Eatery;160 Front St;160 Front St;New York;;;;
Hurricane Island;1303 3rd Ave;1303 3rd Ave;New York;;;;
Hyo Tan Nippon Restaurant;119 E 59th St;119 E 59th St;New York;;;;
I Pataca;57 W 10th St;57 W 10th St;New York;;;;
I TRE Merli Bistro;183 West 10th Street;183 W 10th St;New York;;;;
I Trulli;122 E 27th St;122 E 27th St;New York;;;;
ISK Manhattan McDonalds;220 West 42nd Street;220 W 42nd St;New York;;;;
Iammo Bello;39 E 60th St;39 E 60th St;New York;;;;
Ichi Ro Sushi Japenese Rest;1694 2nd Ave;1694 2nd Ave;New York;;;;
Ici Restaurant;19 E 69th St;19 E 69th St;New York;;;;
Ida Mae Kitchen N Lounge;111 W 38th Street At Broadway;111 W 38th Street At Broadway;New York;;;;
Idaho Eights;240 E 27th St # 27c;240 E 27th St #27c;New York;;;;
Ikeno Hana;1016 Lexington Ave;1016 Lexington Ave;New York;;;;
Il Brunello Ristorante;56 W 56th St;56 W 56th St;New York;;;;
Il Buco;47 Bond St;47 Bond St;New York;;;;
Il Cantinori Restaurant Inc;32 E 10th St;32 E 10th St;New York;;;;
Il Cortile Restaurant;125 Mulberry St;125 Mulberry St;New York;;;;
Il Duomo Restaurant;200 W End Ave;200 West End Ave;New York;;;;
Il Faro Italian Seafood Rstrnt;45 W 39th St # 1;45 W 39th St #1;New York;;;;
Il Gatto & La Volpe;1154 1st Ave;1154 1st Avenue;New York;;;;
Il Menestrello;14 E 52nd St;14 E 52nd St;New York;;;;
Il Monello Restaurant;1460 2nd Ave;1460 2nd Ave;New York;;;;
Il Palazzo Ristorante Italiano;151 Mulberry St;151 Mulberry St;New York;;;;
Il Pellicano;401 E 62nd St;401 E 62nd St;New York;;;;
Il Tinello Ristorante;16 W 56th St;16 W 56th St;New York;;;;
Il Toscanaccio Restaurant;7 E 59th St;7 E 59th St;New York;;;;
Il Valentino Inc;330 E 56th St;330 E 56th St;New York;;;;
Il Violino;180 Columbus Ave;180 Columbus Ave;New York;;;;
Il-Eok-Jo Restaurant Inc;102 Macdougal St;102 MacDougal St;New York;;;;
Il-corallo Restaurant;172 Prince St # 6;172 Prince St #6;New York;;;;
Il-postino Inc;337 E 49th St;337 E 49th St;New York;;;;
Imperial Hunan Restaurant;352 3rd Ave;352 3rd Ave;New York;;;;
In Padella;145 2nd Ave;145 2nd Ave;New York;;;;
Inagiku Japanese Restaurant at the Waldo;111 East 49th Street;111 E 49th St;New York;;;;
Inca Grill;492 Broome St;492 Broome St;New York;;;;
Independent Restaurant;179 W Broadway;179 W Broadway;New York;;;;
India Garden Restaurant;624 Amsterdam Ave;624 Amsterdam Ave;New York;;;;
India Grill;240 E 81st St;240 E 81st St;New York;;;;
India Pavilion Restaurant S;33 W 13th St;33 W 13th St;New York;;;;
India Valley;901 Avenue Of The Americas;901 6th Ave;New York;;;;
India Village;182 2nd Ave;182 2nd Ave;New York;;;;
Indian Restaurant;338 9th Ave;338 9th Ave;New York;;;;
Indian Taj;181 Bleecker St;181 Bleecker St;New York;;;;
Indian Tampura;564 Amsterdam Ave;564 Amsterdam Ave;New York;;;;
Indigo Restaurant;142 W 10th St;142 W 10th St;New York;;;;
Indo Munch;182 Lexington Avenue;Lexington Plaza;New York;;;;
Indochine Restaurant;430 Lafayette St # 1;430 Lafayette St #1;New York;;;;
Inside Track;991 2nd Ave;991 2nd Ave;New York;;;;
Inter-continental Hotels;111 E 48th St;111 E 48th St;New York;;;;
Intermezzo;202 8th Ave;202 8th Ave;New York;;;;
International Cafe;5 W 63rd St;5 W 63rd St.;New York;;;;
International Food House;240 West 35th Street;240 W 35th St;New York;;;;
International Food House Inc;217 Dyckman St;217 Dyckman St;New York;;;;
International Food House Restaurant & Buffet;240 West 35th Street;240 W 35th St;New York;;;;
International House of NY;500 Riverside Drive;500 Riverside Dr;New York;;;;
International Poultry Co;1133 Madison Ave;1133 Madison Ave;New York;;;;
International Poultry Co Inc;983 1st Ave;983 1st Avenue;New York;;;;
Ipanema Restaurant;13 W 46th St;13 W 46th St;New York;;;;
Ipoh Garden Malaysian Chinese;13 Eldridge St # 1;13 Eldridge St #1;New York;;;;
Ireland Inn;71 W 23rd St;71 W 23rd St;New York;;;;
Iridium Banquet Office;1600 Broadway # 500;1600 Broadway #500;New York;;;;
Iridium Jazz Club;44 W 63rd St;44 W 63rd St.;New York;;;;
Irish Eyes;5008 Broadway;5008 Broadway;New York;;;;
Irish Punt The;40 Exchange Pl;40 Exchange Pl;New York;;;;
Iroha Japanese Restaurant;152 W 49th St;152 W 49th St;New York;;;;
Isabellas Restaurant;359 Columbus Ave;359 Columbus Ave;New York;;;;
Isadoras Cafe;16 E 52ndst Frrnt;16 E 52ndst Frrnt;New York;;;;
Ise Japanese Restaurant;58 W 56th St # 1;58 W 56th St #1;New York;;;;
Ise Restaurant Inc;151 E 49th St;151 E 49th St;New York;;;;
Isk Manhattan Inc;1271 Avenue Of The Americas;1271 6th Ave;New York;;;;
Island;1305 Madison Ave;1305 Madison Ave;New York;;;;
Island Grill;2 Lafayette St;2 Lafayette St;New York;;;;
Island Sun Restaurant & Bakery;547 Malcolm X Blvd;547 Malcolm X Blvd;New York;;;;
Iso Restaurant;175 2nd Ave;175 2nd Ave;New York;;;;
Isohama Japanese Restaurant;1666 3rd Ave;1666 3rd Ave;New York;;;;
Isola Restaurant;485 Columbus Ave;485 Columbus Ave;New York;;;;
Istanbul Turkish Cuisine;413 Amsterdam Ave;413 Amsterdam Ave;New York;;;;
It's A Dominican Thing;144 West 19th Street;144 W 19th St;New York;;;;
Italia CIAO Pizzeria Ristorante Corporat;153 Chambers Street;153 Chambers St;New York;;;;
Italianissimo Ristorante;307 East 84th Street;307 E 84th St;New York;;;;
Italy On The Hudson;305 W 10th St;305 W 10th St;New York;;;;
Ithaka Restaurant;48 Barrow St # 1014;48 Barrow St #1014;New York;;;;
Its A Wrap;2012 Broadway # 1;2012 Broadway #1;New York;;;;
Ivoire Restaurant;76 E 119th St # 1;76 E 119th St #1;New York;;;;
J & C Deli Restaurant;315 W 39th St;315 W 39th St;New York;;;;
J & J Coffee Shop;442 E 14th St # 1;442 E 14th St #1;New York;;;;
J & W Fish & Chips;101 Lenox Ave;101 Lenox Ave;New York;;;;
J D French Grill Inc;200 Church St # 1;200 Church St #1;New York;;;;
J D Restaurant;206 E 52nd St;206 E 52nd St;New York;;;;
J D Rushs Restauant & Bar;32 Cliff St # 1;32 Cliff St #1;New York;;;;
J G Melon Restaurant;1291 3rd Ave;1291 3rd Ave;New York;;;;
J L Segull Chinese Restaurant;133 Ludlow St;133 Ludlow St;New York;;;;
J P Loflands New York Grill;15 John St;15 John St;New York;;;;
J R Cafe;250 E 58th St;250 E 58th St;New York;;;;
J R Restaurant;264 W 46th St;264 W 46th St;New York;;;;
J Ts American Italian Grill;American;New York;New York;;;;
J Ws Steakhouse;1535 Broadway;1535 Broadway;New York;;;;
Jab Foods Inc;250 W 34th St # C;250 W 34th St C;New York;;;;
Jabrell Il Food Market;764 Columbus Ave;764 Columbus Ave;New York;;;;
Jack Dempsey Restaurant;61 2nd Ave;61 2nd Ave;New York;;;;
Jack The Ripper;228 W 4th St;228 West 4th Street;New York;;;;
Jacks Restaurant & Bar;Family/Casual;Family/Casual;New York;;;;
Jackson Hole Burgers;232 E 64th St;232 E 64th St;New York;;;;
Jacques Cafe;200 E 85th St;200 E 85th St;New York;;;;
Jad Food Svc Inc;115 E 57th St # 410;115 E 57th St #410;New York;;;;
Jade House;4028 Broadway;4028 Broadway;New York;;;;
Jade Kitchen;534 E 14th St;534 E 14th St;New York;;;;
Jade Mountain Restaurant;197 2nd Ave;197 2nd Ave;New York;;;;
Jai Ya Thai Restaurant;396 3rd Ave;396 3rd Ave;New York;;;;
Jamaican Hot Pot Restrnt;2260 7th Ave;2260 7th Ave;New York;;;;
Jamesons Bar Restrnt;975 2nd Ave;975 2nd Ave;New York;;;;
Jams Restaurant & Deli;Jamaican;Jamaica;New York;;;;
Jane's;736 Broadway;736 Broadway;New York;;;;
Japanese Restaurant;56 3rd Ave;56 3rd Ave;New York;;;;
Japas;11 Saint Marks Pl;11 St Marks Pl;New York;;;;
Japonica Restaurant;100 University Pl;100 University Pl;New York;;;;
Jasmine;1619 2nd Avenue;1619 2nd Ave;New York;;;;
Jat Restaurant;1333 Broadway;1333 Broadway;New York;;;;
Java Shop;1611 Broadway;1611 Broadway;New York;;;;
Jaya Malaysian Restaurant;90 Baxter St;90 Baxter St;New York;;;;
Jazz Standard;116 E 27th St;116 E 27th St;New York;;;;
Jct Coffee Shop Inc;5009 Broadway # 1;5009 Broadway #1;New York;;;;
Jean Claude Restaurant;137 Sullivan St;137 Sullivan St;New York;;;;
Jean Georges Restaurant;1 Central Park W;1 Central Park West;New York;;;;
Jean Lafitte Restaurant;68 W 58th St;68 W 58th St;New York;;;;
Jennifers Restaurant;117 W 58th St;117 W 58th St;New York;;;;
Jerrys Restaurant;101 Prince St;101 Prince St;New York;;;;
Jerusalem Pita Inc;212 E 45th St;212 E 45th St;New York;;;;
Jewelers Restaurant;27 W 47th St;27 W 47th St;New York;;;;
Jezebel;630 9th Ave;630 9th Ave;New York;;;;
Jim Bradys Restaurant;75 Maiden Ln;75 Maiden Ln;New York;;;;
Jimbos Coffee Shop;1345 Amsterdam Ave;1345 Amsterdam Ave;New York;;;;
Jimbos Hamburger Place;991 1st Ave;991 1st Avenue;New York;;;;
Jimmy Oro Restaurant;711 W 181st St # 1;711 W 181st St #1;New York;;;;
Jimmy Walkers Restaurant;245 E 55th St;245 E 55th St;New York;;;;
Jimmys Bronx Cafe;2207 7th Ave;2207 7th Ave;New York;;;;
Jimmys Coffee Shop;1151 Madison Ave;1151 Madison Ave;New York;;;;
Jimmys Food Restaurant;1544 Madison Ave # 1043;1544 Madison Ave #1043;New York;;;;
Jin Lian Foo Chow Restaurant Inc;68 E Broadway;68 E Broadway;New York;;;;
Jing Fong Restaurant;20 Elizabeth St;20 Elizabeth St;New York;;;;
Jing Hua;580 Amsterdam Ave;580 Amsterdam Ave;New York;;;;
Jo Jo Restaurant;160 E 64th St;160 E 64th St;New York;;;;
Jo-an Japanese Restaurant;2707 Broadway # 1;2707 Broadway #1;New York;;;;
Joanies Restaurant;126 E 28th St;126 E 28th St;New York;;;;
Joannas Restaurant;30 E 92nd St;30 E 92nd St;New York;;;;
Joe Allen Restaurant;326 W 46th St;326 W 46th St;New York;;;;
Joe Eureka;168 5th Ave # 1;Sohmer Piano Building;New York;;;;
Joe Jr. Restaurant;482 Avenue Of The Americas;482 6th Ave;New York;;;;
Joe Ls Restaurant;200 Bennett Ave # 3h;200 Bennett Ave #3h;New York;;;;
Joe O's;136 West 33rd Street;136 W 33rd St;New York;;;;
Joes Again;230 W 4th St;230 West 4th Street;New York;;;;
Joes Jr Restaurant;167 3rd Ave;167 3rd Ave;New York;;;;
Joes Pizza Francisca Salce;1121 Saint Nicholas Ave;1121 St Nicholas Ave;New York;;;;
Joes Shanghai Restaurant;9 Pell St # 1;9 Pell St #1;New York;;;;
Joeys Paesano;205 W 43rd St;205 W 43rd St;New York;;;;
John & Jack;2130 2nd Ave;2130 2nd Ave;New York;;;;
John Barry's;38 West 39th St;38 W 39th St;New York;;;;
John Street Bar & Grill;17 John St;17 John St;New York;;;;
Johnnies Italian Restaurant;135 W 45th St;135 W 45th St;New York;;;;
Johnny Rocket;University And 8th Avenue;University Pl & E 8th St;New York;;;;
Johns Fried Chicken;512 W 207th St;512 W 207th St;New York;;;;
Johns Gyro & Souvlaki;370 W 58th St;370 W 58th St;New York;;;;
Johns Pizzeria;48 W 65th St;48 W 65th St;New York;;;;
Johns Restaurant;823 2nd Ave;823 2nd Ave;New York;;;;
Johnys;124 W 25th St;124 W 25th St;New York;;;;
Jolly King Inc;44 Bowery;44 Bowery;New York;;;;
Jonathans Restaurant;42 W 58th St;42 W 58th St;New York;;;;
Jones Diner;371 Lafayette St;371 Lafayette St;New York;;;;
Jonesie Coffee Shop;400 Manhattan Ave;400 Manhattan Ave;New York;;;;
Josephine Restaurant;1900 Broadway # 1;1900 Broadway #1;New York;;;;
Josephs;50 W 72nd St;50 W 72nd St;New York;;;;
Josephs Restaurant;3 Hanover Sq;3 Hanover Square;New York;;;;
Joshua Tree;366 W. 46th Street;366 W 46th St;New York;;;;
Joshua Tree Inc;513 3rd Ave;513 3rd Ave;New York;;;;
Joy Curry & Tandoor;Indian;Indian;New York;;;;
Joy Garden;103 Avenue A;103 Avenue A;New York;;;;
Joy Sung Restaurant Inc;40 Rivington St;40 Rivington St;New York;;;;
Joy of India;127 East 28th Street;127 E 28th St;New York;;;;
Joys Gourmet;887 8th Ave;887 8th Ave;New York;;;;
Juan Y Anna Basement;3891 Broadway;3891 Broadway;New York;;;;
Jubilee Inc;347 E 54th St;347 E 54th St;New York;;;;
Judson Grill;152 W 52nd St;152 W 52nd St;New York;;;;
Judys;1 Christopher St # 8h;1 Christopher St #8h;New York;;;;
Juice & Joe;357 Avenue Of The Americas;357 6th Ave;New York;;;;
Jun Yung Restaurant;598 8th Ave;598 8th Ave;New York;;;;
Justin's Restaurant;31 W 21st;31 W 21st St;New York;;;;
K & K Restaurant;192 1st Ave;192 1st Avenue;New York;;;;
K P N Y Cafe;557 Hudson Street;557 Hudson St;New York;;;;
K S Kitchen Inc;153 Amsterdam Ave # 1;153 Amsterdam Ave #1;New York;;;;
KANG SUH Restaurant;1250 Broadway;1250 Broadway;New York;;;;
KENNEDY FRIED CHICKEN;2409 SECOND AVENUE STORE;2409 2nd Ave;New York;;;;
KFC;3205 Broadway;3205 Broadway;New York;;;;
Kabuki Restaurant;1315 1st Ave;1315 1st Avenue;New York;;;;
Kabul Cafe;265 W 54th St;265 W 54th St;New York;;;;
Kai Yue Coffee Shop Corp;26 Eldridge St;26 Eldridge St;New York;;;;
Kaiking Restaurant;117 E 60th St;117 E 60th St;New York;;;;
Kalesmeno Corp;893 9th Ave;893 9th Ave;New York;;;;
Kam Chueh Restaurant Inc;40 Bowery # 1;40 Bowery #1;New York;;;;
Kam Hing Coffee Shop;119 Baxter St;119 Baxter St;New York;;;;
Kam Hong Garden;485 9th Ave;485 9th Ave;New York;;;;
Kam Lai Chinese Restaurant;708 Amsterdam Ave;708 Amsterdam Ave;New York;;;;
Kam Wah Chinese Kitchen;301 E 116th St;301 E 116th St;New York;;;;
Kam-wei Kitchen;617 9th Ave # 1;617 9th Ave #1;New York;;;;
Kameda;University Place;University Pl;New York;;;;
Kamnin Kitchen;9 Nagle Ave;9 Nagle Ave;New York;;;;
Kan Pai Yakitori Sushi;1482 2nd Ave;1482 2nd Ave;New York;;;;
Kana Restaurant;324 Spring St;324 Spring St;New York;;;;
Kang Kee Restaurant;124 Hester St;124 Hester St;New York;;;;
Kang Tai Food Corp;15 W 45th St;15 W 45th St;New York;;;;
Kaoru Restaurant;310 E 46th St;310 E 46th St;New York;;;;
Kaplans At The Delmonico;59 E 59th St;59 E 59th St;New York;;;;
Kar Restautant;45 Nassau St Bsmt;45 Nassau St;New York;;;;
Karahi Indian Cuisine;508 Broome Street;508 Broome St;New York;;;;
Karani Bar & Grill;591 1st Avenue;591 1st Avenue;New York;;;;
Kary Restaurant Inc;864 Avenue Of The Americas;864 6th Ave;New York;;;;
Kashmir 9;478 9th Ave;478 9th Ave;New York;;;;
Kashmir Restaurant;601 8th Ave;601 8th Ave;New York;;;;
Kastro Bar Lounge;237 E 5th St;237 E 5th St;New York;;;;
Katch & Restaurant Bar;339 E 75th St;339 E 75th St;New York;;;;
Kate Kearneys Inc;251 E 50th St # 53;251 E 50th St #53;New York;;;;
Kate's Joint;Vegetarian;Vegetarian;New York;;;;
Katra;217 Bowery;217 Bowery;New York;;;;
Katy Gallaghers Inc;1267 1st Ave;1267 1st Avenue;New York;;;;
Katzs Delicatessen Inc;Deli/Sandwich/Subs;Deli/Sandwich/Subs;New York;;;;
Kava Lounge;605 Hudson St;605 Hudson St;New York;;;;
Kawa Inc;18 Maiden Ln;18 Maiden Ln;New York;;;;
Keats Restaurant;842 2nd Ave;842 2nd Ave;New York;;;;
Kebab House;399 Grand Street;399 Grand St;New York;;;;
Kee-wah-yen;50 W 56th St;50 W 56th St;New York;;;;
Keenans Bar & Grill;4878 Broadway;4878 Broadway;New York;;;;
Keewah Annex;48 W 56th St;48 W 56th St;New York;;;;
Kellari Taverna;19 West 44th Street;19 W 44th St;New York;;;;
Kellari's Parea;36th East 20th Street;36th East 20th Street;New York;;;;
Kennedy Chicken;220 Varick St;220 Varick St;New York;;;;
Kennedy Fried Chicken;158 Nagle Ave;158 Nagle Ave;New York;;;;
Kennedy Fried Chicken Inc;912 Columbus Ave;912 Columbus Ave;New York;;;;
Kenny Cafe;345 Hudson St;Hudson Street;New York;;;;
Kensu Inc;732 7th Ave;732 7th Ave;New York;;;;
Kentucky Fried Chicken;50 Broad Street;50 Broad St;New York;;;;
Kettle Restaurant;130 W 3rd St;130 W 3rd St;New York;;;;
Kfc;103 Broadway;103 Broadway;New York;;;;
Khondoker Luncheonette;58 Kenmare St # 1;58 Kenmare St #1;New York;;;;
Khyber Kabob House Inc;207 10th Ave;207 10th Ave;New York;;;;
Kiev Restaurant Ltd;117 2nd Ave;117 2nd Ave;New York;;;;
Kiiroihana Restaurant;23 W 56th St;23 W 56th St;New York;;;;
Kikyoya Restaurant;234 5th Ave;234 5th Ave;New York;;;;
Killarney Rose;80 Beaver St;80 Beaver St;New York;;;;
Kim Long Kitchen;217 Avenue A;217 Avenue A;New York;;;;
Kim Restaurant;657 Lenox Ave;657 Lenox Ave;New York;;;;
Kim Tont Restaurant;1722 Amsterdam Ave;1722 Amsterdam Ave;New York;;;;
Kin Khao Restaurant;171 Spring St;171 Spring St;New York;;;;
Kin Yip Restaurant Inc;11 E 31st St;11 E 31st St;New York;;;;
King David Restaurant;1239 1st Ave;1239 1st Avenue;New York;;;;
King Deli;221 W 38th St;221 W 38th St;New York;;;;
King Dragon Two Inc;107 Dyckman St;107 Dyckman St;New York;;;;
King Express Rest;40 W 8th St # 42;40 W 8th St #42;New York;;;;
King Foo Chinese Food;2030 2nd Ave;2030 2nd Ave;New York;;;;
King Garden;1 W 137th St;1 W 137th St;New York;;;;
King Garden Restaurant;231 8th Ave;231 8th Ave;New York;;;;
King Hwa Chinese Food;1272 Amsterdam Ave;1272 Amsterdam Ave;New York;;;;
King Wok;222 Varick St;222 Varick St;New York;;;;
King Wok Kitchen;1967 7th Ave;1967 7th Ave;New York;;;;
Kings Carriage House Rstrnt;251 E 82nd St;251 E 82nd St;New York;;;;
Kings Deli;221 W 38th St # 2;221 W 38th St #2;New York;;;;
Kings Delight;45 E 34th St;45 E 34th St;New York;;;;
Kings Wok Chinese Restaurant;1744 1st Ave;1744 1st Avenue;New York;;;;
Kiosk;1007 Lexington Ave;1007 Lexington Ave;New York;;;;
Kiran Continental Indian Cuisine;94 Chambers Street;94 Chambers St;New York;;;;
Kiran Indian Cuisine;401 W 53rd Street;401 W 53rd St;New York;;;;
Kishi Japanese Restaurant;137 E 45th St;137 E 45th St;New York;;;;
Kismat Indian Restaurant;603 Fort Washington Ave;603 Fort Washington Ave;New York;;;;
Kismoth;326 E 6th St;326 E 6th St;New York;;;;
Kitaro Japanese Restaurant Inc;1164 1st Ave;1164 1st Avenue;New York;;;;
Kitchen Club Inc;30 Prince St # 1;30 Prince St #1;New York;;;;
Kitchen Provance;68 W 45th St;68 W 45th St;New York;;;;
Km Wah Chinese Restaurant;301 E 116th St;301 E 116th St;New York;;;;
Knicks Diner;1732 2nd Ave;1732 2nd Ave;New York;;;;
Knot Just Pretzels;1 Penn Plz;1 Pennsylvania Plaza;New York;;;;
Kob Ma Thai;9 Doyers St;9 Doyers St;New York;;;;
Kobe Inc;208 3rd Ave;208 3rd Ave;New York;;;;
Kobma;611 Hudson St;611 Hudson St;New York;;;;
Kodama Japanese Restaurant;301 W 45th St;301 W 45th St;New York;;;;
Kohinoor Indian Cuisine;342 E 6th St;342 E 6th St;New York;;;;
Kokachin Restaurant;21 E 52nd St;21 E 52nd St;New York;;;;
Kokura Japanese Restaurant;19 S William St;19 S William St;New York;;;;
Korean Town Club Enterprises;400 2nd Ave;400 2nd Ave;New York;;;;
Kosher Delight;1365 Broadway;1365 Broadway;New York;;;;
Kosher Delight Inc;1156 Ave Of Americas Ground;1156 6th Ave;New York;;;;
Kosher Tea Room;Kosher;Kosher;New York;;;;
Kostas & Angelo Coffee Shop;44 E 32nd St;44 E 32nd St;New York;;;;
Koyote Kates;307 W 47th St;307 W 47th St;New York;;;;
Krik Krak;845 Amsterdam Ave;845 Amsterdam Ave;New York;;;;
Kun Paw Thai Cuisine;39 Greenwich Ave;39 Greenwich Ave;New York;;;;
Kura Sushi Japanese Restaurant;67 1st Ave;67 1st Avenue;New York;;;;
Kuruma-zushi;7 E 47th St # 2;7 E 47th St #2;New York;;;;
Kwoks Food King;56 Market St;56 Market St;New York;;;;
Kwong Ming Restaurant;1764 1st Ave;1764 1st Avenue;New York;;;;
Kwong Pek Garden;71 Sullivan St;71 Sullivan St;New York;;;;
Kwong Yiu Chu No 1 Chin Restaurant;265 1st Ave;265 1st Avenue;New York;;;;
L A Cafe;200 5th Ave;Fifth Avenue Hotel;New York;;;;
L C Harden Restaurant;43 Canal St;43 Canal St;New York;;;;
L Cena Corp;12 E 22nd St;12 E 22nd St;New York;;;;
L Express;French Bistro;French Bistro;New York;;;;
L'Espresso;590 Madison Ave;590 Madison Ave;New York;;;;
LA Cocina On Third Avenue Inc;158 East 30th Street;158 E 30th St;New York;;;;
LA Hacienda;219 East 116th Street;219 E 116th St;New York;;;;
La Barca Restaurant;3892 Broadway;38-92 Broadway;New York;;;;
La Bella China Restaurant Inc;2816 Broadway;2816 Broadway;New York;;;;
La Belle Epoque;827 Broadway # 2;827 Broadway #2;New York;;;;
La Bellezza Pizza;1331 2nd Ave;1331 2nd Ave;New York;;;;
La Boheme Restaurant;24 Minetta Ln;24 Minetta Ln;New York;;;;
La Borsa Di Roma Restaurant;215 Pearl St;215 Pearl St;New York;;;;
La Boulangere French Bakery;49 E 21st St;49 E 21st St;New York;;;;
La Cabana Fried Chicken;1302 Saint Nicholas Ave;1302 St Nicholas Ave;New York;;;;
La Cabana Restaurant;331 W 38th St;331 W 38th St;New York;;;;
La Cabana Salvadorena Restaurant;187 Broadway;187 Broadway;New York;;;;
La Caboa Restaurant Ii Inc;3180 Broadway;3180 Broadway;New York;;;;
La Cafe;17 W 45thst Frrnt;17 W 45thst Frrnt;New York;;;;
La Cafe Creme Madison Ltd;165 Madison Ave;165 Madison Ave;New York;;;;
La Caridad #2 Restaurant;2092 Amsterdam Ave;2092 Amsterdam Ave;New York;;;;
La Caridad Restrnt;2184 Amsterdam Ave;2184 Amsterdam Ave;New York;;;;
La Ceiba Restaurant;173 Avenue A;173 Avenue A;New York;;;;
La Chandelle Cafe;2231 Broadway;2231 Broadway;New York;;;;
La Chinita Linda Restaurant;166 8th Ave;166 8th Ave;New York;;;;
La Cigale Restaurant;231 Mott St # 1;231 Mott St #1;New York;;;;
La Cocina;762 8th Ave;762 8th Ave;New York;;;;
La Cocina Mexican Cuisine;2608 Broadway;2608 Broadway;New York;;;;
La Cocina Mexicana;217 W 85th St;217 W 85th St;New York;;;;
La Cote Basque;60 W 55th St;60 W 55th St;New York;;;;
La Crepe De Bretagne;46 W 56th St;46 W 56th St;New York;;;;
La Destinguida Cueva;304 W 38th St;304 W 38th St;New York;;;;
La Dinastia Restaurant;145 W 72nd St;145 W 72nd St;New York;;;;
La Dolce Vita;195 Spring St;195 Spring St;New York;;;;
La Dolce Vita Ristorante;54 W 13th St;54 W 13th St;New York;;;;
La Embajada;953 Amsterdam Ave;953 Amsterdam Ave;New York;;;;
La Famille Inc;2017 5th Ave;2017 5th Ave;New York;;;;
La Famille Restaurant & Jazz Club;485 Central Park W # 6g;485 Central Park West #6g;New York;;;;
La Flor De Broadway;3401 Broadway;3401 Broadway;New York;;;;
La Focaccia;51 Bank St;51 Bank St;New York;;;;
La Foccaceria;128 1st Ave # 1;128 1st Avenue #1;New York;;;;
La Giara;501 3rd Ave;501 3rd Ave;New York;;;;
La Goulue Restaurant Inc;746 Madison Ave # 1;746 Madison Ave #1;New York;;;;
